HORA_VENTA,Lunes,Martes,MiÃ©rcoles,Jueves,Viernes,SÃ¡bado,Domingo,SUCURSAL
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
7.0,0.0,0.0031766200762388,0.0,0.0006640106241699,0.0018613308515588,0.0,0.0,MERCADOLIBRE
7.0,0.0,0.0,0.001453488372093,0.0,0.0,0.0,0.0,AMAZON
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AMAZON
7.0,0.0029970029970029,0.0010067958721369,0.0002709292874559,0.000762970498474,0.0002570033410434,0.0,0.0,INTERNET
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MERCADOLIBRE
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERNET
8.0,0.0051150895140664,0.0174672489082969,0.0145348837209302,0.0228658536585365,0.0263929618768328,0.0,0.0,AMAZON
8.0,0.0372127872127872,0.0427888245658192,0.0525602817664589,0.0338250254323499,0.0418915445900796,0.0189210950080515,0.0,INTERNET
8.0,0.0104643557880967,0.0165184243964421,0.0132603662386865,0.015493581230633,0.0062819916240111,0.001673360107095,0.0,MERCADOLIBRE
9.0,0.0996503496503496,0.1130128366473697,0.1048496342454619,0.1190233977619532,0.1087124132613724,0.1280193236714976,0.0,INTERNET
9.0,0.0429474602136472,0.0652265988987717,0.0591454430646179,0.066622399291722,0.0560725919032107,0.0244310575635876,0.0,MERCADOLIBRE
9.0,0.2749360613810742,0.395924308588064,0.3793604651162791,0.3231707317073171,0.3489736070381232,0.1217228464419475,0.0,AMAZON
10.0,0.0372792674950948,0.0478610758153324,0.0505156809092822,0.0376272687029659,0.0625872498836668,0.0819946452476573,0.0004295532646048,MERCADOLIBRE
10.0,0.0721778221778221,0.0810470677070224,0.0956380384719588,0.1075788402848423,0.11976355692624,0.1046698872785829,0.0254777070063694,INTERNET
10.0,0.09846547314578,0.0844250363901018,0.0959302325581395,0.0746951219512195,0.1011730205278592,0.1516853932584269,0.014799154334038,AMAZON
