,POSTAL,ENVIOS,TOTAL,CANTIDAD,LATITUDE,LONGITUDE,LUGAR,ESTADO,COLONIA,VENTA,SUCURSAL
1,01000,1,484.0,1.0,19.3587,-99.2033,Álvaro Obregón,Distrito Federal,San Ángel,$484.00,INTERNET
2,01010,1,808.52,3.0,19.3569,-99.21,Álvaro Obregón,Distrito Federal,Los Alpes,$808.52,INTERNET
3,01020,2,5273.0,9.0,19.5161,-99.1419,Álvaro Obregón,Distrito Federal,Guadalupe Inn,"$5,273.00",INTERNET
4,01030,3,613.0,3.0,19.3567,-99.17835,Álvaro Obregón,Distrito Federal,"Axotla, Florida",$613.00,INTERNET
5,01049,1,1375.0,5.0,19.3536,-99.1969,Álvaro Obregón,Distrito Federal,Tlacopac,"$1,375.00",INTERNET
6,01060,1,127.27,2.0,19.3469,-99.1913,Álvaro Obregón,Distrito Federal,"Altavista, San Ángel Inn",$127.27,INTERNET
7,01080,2,2077.04,8.0,19.3354,-99.2034,Álvaro Obregón,Distrito Federal,Progreso Tizapan,"$2,077.04",INTERNET
8,01090,2,734.94,2.0,19.3399,-99.198,Álvaro Obregón,Distrito Federal,"Tizapan, La Otra Banda, Loreto",$734.94,INTERNET
9,01110,1,469.0,1.0,19.3962,-99.211,Álvaro Obregón,Distrito Federal,"Liberales de 1857, Ampliación El Capulín, El Capulín, Belém de las Flores",$469.00,INTERNET
10,01210,1,174.5,1.0,19.3741,-99.2563,Álvaro Obregón,Distrito Federal,Santa Fe,$174.50,INTERNET
11,01330,1,1182.1,3.0,19.3704,-99.2675,Álvaro Obregón,Distrito Federal,Paseo de las Lomas,"$1,182.10",INTERNET
12,01410,1,328.52,3.0,19.36305,-99.2065,Álvaro Obregón,Distrito Federal,"Barrio Norte, Palmas",$328.52,INTERNET
13,01420,1,55.0,1.0,19.38115,-99.1949,Álvaro Obregón,Distrito Federal,"Sacramento, Santa María Nonoalco",$55.00,INTERNET
14,01460,1,683.02,2.0,19.376,-99.1954,Álvaro Obregón,Distrito Federal,Alfonso XIII,$683.02,INTERNET
15,01588,1,257.2,1.0,19.3503,-99.2491,Álvaro Obregón,Distrito Federal,Tarango,$257.20,INTERNET
16,01619,1,174.5,1.0,19.3588,-99.2251,Álvaro Obregón,Distrito Federal,"La Martinica, Rinconada de Tarango",$174.50,INTERNET
17,01620,1,411.46,3.0,19.3477,-99.2544,Álvaro Obregón,Distrito Federal,Lomas de Tarango,$411.46,INTERNET
18,01700,1,294.0,1.0,19.3407,-99.2286,Álvaro Obregón,Distrito Federal,"Tetelpan, San Agustín del Pueblo Tetelpan, La Joyita del Pueblo Tetelpan, Tecalcapa del Pueblo Tetelpan, Ocotillos del Pueblo Tetelpan, 2a Del Moral del Pueblo de Tetelpan",$294.00,INTERNET
19,01710,3,2339.65,13.0,19.3479,-99.2232,Álvaro Obregón,Distrito Federal,"Las Águilas, Ampliación Alpes","$2,339.65",INTERNET
20,01730,1,619.52,2.0,19.3464,-99.2331,Álvaro Obregón,Distrito Federal,"Lomas de las Águilas, Puente Colorado",$619.52,INTERNET
21,01780,2,880.04,4.0,19.3386,-99.2183,Álvaro Obregón,Distrito Federal,"Tizampampano del Pueblo Tetelpan, Olivar de los Padres",$880.04,INTERNET
22,01800,1,358.52,2.0,19.3324,-99.2716,Álvaro Obregón,Distrito Federal,San Bartolo Ameyalco,$358.52,INTERNET
23,01810,1,297.93,2.0,19.3394,-99.2561,Álvaro Obregón,Distrito Federal,Villa Verdún,$297.93,INTERNET
24,01840,2,883.75,3.0,19.3303,-99.2484,Álvaro Obregón,Distrito Federal,Torres de Potrero,$883.75,INTERNET
25,01900,2,1967.52,6.0,19.3197,-99.2099,Álvaro Obregón,Distrito Federal,Jardines del Pedregal,"$1,967.52",INTERNET
26,02080,1,313.72,2.0,19.468,-99.1801,Azcapotzalco,Distrito Federal,"Clavería, Sector Naval",$313.72,INTERNET
27,02090,1,2860.0,7.0,19.4614,-99.1849,Azcapotzalco,Distrito Federal,San Álvaro,"$2,860.00",INTERNET
28,02100,1,36.0,1.0,19.5086,-99.2042,Azcapotzalco,Distrito Federal,"El Rosario, Los Oyameles",$36.00,INTERNET
29,02150,1,682.5,2.0,19.4945,-99.196,Azcapotzalco,Distrito Federal,"Azcapotzalco Pasteros, Pasteros",$682.50,INTERNET
30,02200,1,89.0,1.0,19.494,-99.1876,Azcapotzalco,Distrito Federal,Reynosa Tamaulipas,$89.00,INTERNET
31,02230,2,3668.25,8.0,19.4999,-99.1797,Azcapotzalco,Distrito Federal,Santa Bárbara,"$3,668.25",INTERNET
32,02240,2,1239.1,7.0,19.495833333333334,-99.16816666666666,Azcapotzalco,Distrito Federal,"San Andrés Fase II, San Andrés, Ticoman","$1,239.10",INTERNET
33,02300,1,301.57,2.0,19.4853,-99.1821,Azcapotzalco,Distrito Federal,Industrial Vallejo,$301.57,INTERNET
34,02400,1,235.0,1.0,19.4897,-99.2046,Azcapotzalco,Distrito Federal,"Rinconada el Olivar, San Juan Tlihuaca",$235.00,INTERNET
35,02410,1,125.1,1.0,19.5034,-99.2095,Azcapotzalco,Distrito Federal,Prados del Rosario,$125.10,INTERNET
36,02470,1,545.02,3.0,19.483,-99.1953,Azcapotzalco,Distrito Federal,Ampliación Petrolera,$545.02,INTERNET
37,02530,1,69.0,1.0,19.4733,-99.1747,Azcapotzalco,Distrito Federal,Jardín Azpeitia,$69.00,INTERNET
38,02660,1,407.22,3.0,19.4772,-99.1607,Azcapotzalco,Distrito Federal,Euzkadi,$407.22,INTERNET
39,02800,1,603.75,1.0,19.4625,-99.1682,Azcapotzalco,Distrito Federal,Nueva Santa María,$603.75,INTERNET
